"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Gerrit Cole","Astros","20","5","0","33","33","212.1","13.82","2.03","1.23",".275","83.3 %","40.3 %","16.9 %","2.50","2.64","2.48","7.4","13125"
"Jacob deGrom","Mets","11","8","0","32","32","204.0","11.25","1.94","0.84",".282","81.8 %","44.4 %","11.2 %","2.43","2.67","3.11","7.0","10954"
"Lance Lynn","Rangers","16","11","0","33","33","208.1","10.63","2.55","0.91",".322","74.4 %","40.3 %","9.9 %","3.67","3.13","3.85","6.8","2520"
"Max Scherzer","Nationals","11","7","0","27","27","172.1","12.69","1.72","0.94",".321","78.7 %","40.8 %","11.6 %","2.92","2.45","2.88","6.5","3137"
"Justin Verlander","Astros","21","6","0","34","34","223.0","12.11","1.70","1.45",".218","88.4 %","35.9 %","16.0 %","2.58","3.27","3.18","6.4","8700"
"Charlie Morton","Rays","16","6","0","33","33","194.2","11.10","2.64","0.69",".298","75.3 %","48.2 %","10.4 %","3.05","2.81","3.28","6.1","4676"
"Stephen Strasburg","Nationals","18","6","0","33","33","209.0","10.81","2.41","1.03",".274","76.5 %","51.1 %","16.2 %","3.32","3.25","3.17","5.7","10131"
"Shane Bieber","Indians","15","8","0","34","33","214.1","10.88","1.68","1.30",".296","77.4 %","43.9 %","16.1 %","3.28","3.32","3.23","5.6","19427"
"Zack Greinke","- - -","18","5","0","33","33","208.2","8.07","1.29","0.91",".271","75.7 %","45.2 %","10.9 %","2.93","3.22","3.74","5.4","1943"
"Lucas Giolito","White Sox","14","9","0","29","29","176.2","11.62","2.90","1.22",".273","77.7 %","36.0 %","13.6 %","3.41","3.43","3.66","5.1","15474"
"Walker Buehler","Dodgers","14","4","0","30","30","182.1","10.61","1.83","0.99",".290","71.0 %","42.7 %","12.2 %","3.26","3.01","3.37","5.0","19374"
"Hyun-Jin Ryu","Dodgers","14","5","0","29","29","182.2","8.03","1.18","0.84",".278","82.2 %","50.4 %","13.0 %","2.32","3.10","3.32","4.8","14444"
"Patrick Corbin","Nationals","14","7","0","33","33","202.0","10.60","3.12","1.07",".290","77.3 %","49.5 %","14.4 %","3.25","3.49","3.59","4.8","9323"
"Jack Flaherty","Cardinals","11","8","0","33","33","196.1","10.59","2.52","1.15",".242","83.3 %","39.5 %","13.8 %","2.75","3.46","3.64","4.7","17479"
"Zack Wheeler","Mets","11","8","0","31","31","195.1","8.98","2.30","1.01",".311","71.4 %","43.2 %","10.9 %","3.96","3.48","4.06","4.7","10310"
"Jose Berrios","Twins","14","8","0","32","32","200.1","8.76","2.29","1.17",".299","73.5 %","42.1 %","12.0 %","3.68","3.85","4.32","4.4","14168"
"Noah Syndergaard","Mets","10","8","0","32","32","197.2","9.20","2.28","1.09",".313","68.9 %","48.0 %","13.3 %","4.28","3.60","3.83","4.4","11762"
"Sonny Gray","Reds","11","8","0","31","31","175.1","10.52","3.49","0.87",".255","79.7 %","50.8 %","13.0 %","2.87","3.42","3.65","4.4","12768"
"Mike Minor","Rangers","14","10","0","32","32","208.1","8.64","2.94","1.30",".287","80.3 %","40.0 %","12.9 %","3.59","4.25","4.60","4.1","10021"
"Kyle Hendricks","Cubs","11","10","0","30","30","177.0","7.63","1.63","0.97",".287","71.8 %","41.3 %","10.4 %","3.46","3.61","4.26","4.1","12049"
"Luis Castillo","Reds","15","8","0","32","32","190.2","10.67","3.73","1.04",".262","76.7 %","55.2 %","17.9 %","3.40","3.70","3.48","4.1","15689"
"Mike Soroka","Braves","13","4","0","29","29","174.2","7.32","2.11","0.72",".280","79.9 %","51.2 %","11.1 %","2.68","3.45","3.85","4.0","18383"
"Marcus Stroman","- - -","10","13","0","32","32","184.1","7.76","2.83","0.88",".307","76.1 %","53.7 %","12.6 %","3.22","3.72","3.99","3.9","13431"
"Eduardo Rodriguez","Red Sox","19","6","0","34","34","203.1","9.43","3.32","1.06",".317","77.7 %","48.5 %","13.3 %","3.81","3.86","4.10","3.7","13164"
"Marco Gonzales","Mariners","16","13","0","34","34","203.0","6.52","2.48","1.02",".295","69.2 %","40.7 %","9.3 %","3.99","4.15","5.11","3.7","15467"
"Jose Quintana","Cubs","13","9","0","32","31","171.0","8.00","2.42","1.05",".326","65.9 %","44.5 %","12.1 %","4.68","3.80","4.20","3.5","11423"
"Aaron Nola","Phillies","12","7","0","34","34","202.1","10.19","3.56","1.20",".295","76.8 %","49.7 %","17.4 %","3.87","4.03","3.82","3.4","16149"
"German Marquez","Rockies","12","5","0","28","28","174.0","9.05","1.81","1.50",".304","68.1 %","49.0 %","20.1 %","4.76","4.06","3.54","3.4","15038"
"Clayton Kershaw","Dodgers","16","5","0","29","28","178.1","9.54","2.07","1.41",".262","84.0 %","48.0 %","18.5 %","3.03","3.86","3.50","3.4","2036"
"Joe Musgrove","Pirates","11","12","0","32","31","170.1","8.30","2.06","1.11",".299","63.2 %","44.5 %","11.7 %","4.44","3.82","4.31","3.3","12970"
"Matthew Boyd","Tigers","9","12","0","32","32","185.1","11.56","2.43","1.89",".307","74.4 %","35.6 %","18.2 %","4.56","4.32","3.88","3.3","15440"
"Trevor Bauer","- - -","11","13","0","34","34","213.0","10.69","3.46","1.44",".287","70.4 %","37.6 %","15.3 %","4.48","4.34","4.33","3.3","12703"
"Masahiro Tanaka","Yankees","11","9","0","32","31","182.0","7.37","1.98","1.38",".293","70.4 %","47.5 %","15.1 %","4.45","4.27","4.29","3.3","15764"
"Madison Bumgarner","Giants","9","9","0","34","34","207.2","8.80","1.86","1.30",".289","71.8 %","35.8 %","12.6 %","3.90","3.90","4.31","3.2","5524"
"Max Fried","Braves","17","6","0","33","30","165.2","9.40","2.55","1.14",".336","74.3 %","53.6 %","20.2 %","4.02","3.72","3.32","3.0","13743"
"Homer Bailey","- - -","13","9","0","31","31","163.1","8.21","2.92","1.16",".301","71.2 %","44.3 %","12.8 %","4.57","4.11","4.43","2.9","8362"
"Jon Lester","Cubs","13","10","0","31","31","171.2","8.65","2.73","1.36",".347","71.4 %","43.3 %","14.6 %","4.46","4.26","4.35","2.8","4930"
"Yu Darvish","Cubs","6","8","0","31","31","178.2","11.54","2.82","1.66",".266","77.7 %","45.5 %","22.8 %","3.98","4.18","3.39","2.6","13074"
"Miles Mikolas","Cardinals","9","14","0","32","32","184.0","7.04","1.57","1.32",".302","73.8 %","47.4 %","16.1 %","4.16","4.27","4.18","2.5","9803"
"Anibal Sanchez","Nationals","11","8","0","30","30","166.0","7.27","3.14","1.19",".265","74.9 %","38.0 %","11.1 %","3.85","4.44","5.10","2.5","3284"
"Anthony DeSclafani","Reds","9","9","0","31","31","166.2","9.02","2.65","1.57",".273","77.7 %","42.9 %","16.2 %","3.89","4.43","4.30","2.4","13050"
"Robbie Ray","Diamondbacks","12","8","0","33","33","174.1","12.13","4.34","1.55",".305","75.1 %","37.0 %","20.0 %","4.34","4.29","3.76","2.4","11486"
"Sandy Alcantara","Marlins","6","14","0","32","32","197.1","6.89","3.69","1.05",".271","73.8 %","44.6 %","10.8 %","3.88","4.55","5.17","2.3","18684"
"Reynaldo Lopez","White Sox","10","15","0","33","33","184.0","8.27","3.18","1.71",".316","69.2 %","35.0 %","14.0 %","5.38","5.04","5.27","2.3","16400"
"Brad Keller","Royals","7","14","0","28","28","165.1","6.64","3.81","0.82",".282","72.2 %","50.0 %","10.2 %","4.19","4.35","4.94","2.2","15734"
"Adam Wainwright","Cardinals","14","10","0","31","31","171.2","8.02","3.36","1.15",".319","76.5 %","48.8 %","15.0 %","4.19","4.36","4.39","2.2","2233"
"Joey Lucchesi","Padres","10","10","0","30","30","163.2","8.69","3.08","1.26",".271","73.0 %","47.0 %","13.9 %","4.18","4.17","4.36","2.1","19320"
"Merrill Kelly","Diamondbacks","13","14","0","32","32","183.1","7.76","2.80","1.42",".292","73.1 %","42.0 %","14.8 %","4.42","4.51","4.58","2.0","11156"
"Ivan Nova","White Sox","11","12","0","34","34","187.0","5.49","2.26","1.44",".322","72.8 %","46.1 %","15.8 %","4.72","4.98","4.91","2.0","1994"
"Brett Anderson","Athletics","13","9","0","31","31","176.0","4.60","2.51","1.02",".278","74.8 %","54.5 %","13.3 %","3.89","4.57","4.79","2.0","8223"
"Wade Miley","Astros","14","6","0","33","33","167.1","7.53","3.28","1.24",".287","74.3 %","49.7 %","15.2 %","3.98","4.51","4.52","2.0","8779"
"Tanner Roark","- - -","10","10","0","31","31","165.1","8.60","2.78","1.52",".322","78.1 %","36.2 %","15.5 %","4.35","4.67","4.64","1.9","8753"
"Martin Perez","Twins","10","7","0","32","29","165.1","7.35","3.65","1.25",".316","67.6 %","48.0 %","15.0 %","5.12","4.66","4.69","1.9","6902"
"Rick Porcello","Red Sox","14","12","0","32","32","174.1","7.38","2.32","1.60",".308","65.7 %","38.1 %","13.1 %","5.52","4.76","5.14","1.8","2717"
"Mike Fiers","Athletics","15","4","0","33","33","184.2","6.14","2.58","1.46",".254","78.5 %","39.9 %","13.8 %","3.90","4.97","5.19","1.7","7754"
"Julio Teheran","Braves","10","11","0","33","33","174.2","8.35","4.28","1.13",".266","76.6 %","39.0 %","11.2 %","3.81","4.66","5.26","1.6","6797"
"Jakob Junis","Royals","9","14","0","31","31","175.1","8.42","2.98","1.59",".318","70.3 %","42.4 %","16.7 %","5.24","4.82","4.63","1.5","13619"
"Zach Eflin","Phillies","10","13","0","32","28","163.1","7.11","2.64","1.54",".291","73.9 %","44.4 %","16.0 %","4.13","4.85","4.76","1.5","13774"
"Jeff Samardzija","Giants","11","12","0","32","32","181.1","6.95","2.43","1.39",".240","76.9 %","36.4 %","12.6 %","3.52","4.59","5.02","1.5","3254"
"Dakota Hudson","Cardinals","16","7","1","33","32","174.2","7.01","4.43","1.13",".274","78.1 %","56.9 %","19.8 %","3.35","4.93","4.55","1.0","19206"
"Mike Leake","- - -","12","11","0","32","32","197.0","5.80","1.23","1.87",".295","72.6 %","46.8 %","18.2 %","4.29","5.19","4.76","1.0","10130"
