"Season","Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"2018","Alex Gordon","KCR","LF","1085.0","","","","","6","2","10","","18","186","180",".968","69","5","","3.9","","8.5","0.7","13.1","15.8","7.5","5209"
"2018","Kyle Schwarber","CHC","LF","943.2","","","","","7","2","-7","","2","150","134",".893","40","-3","","7.9","","0.7","1.1","9.8","14.0","4.9","16478"
"2017","Alex Gordon","KCR","LF","1178.2","","","","","1","3","5","","9","203","186",".916","73","7","","3.5","","6.0","1.1","10.6","10.7","4.6","5209"
"2017","Brett Gardner","NYY","LF","1024.0","","","","","3","3","11","","17","143","128",".895","77","7","","2.6","","4.9","1.3","8.8","11.3","3.5","9927"
"2018","Corey Dickerson","PIT","LF","1057.1","","","","","0","2","14","","16","175","159",".909","95","2","","0.9","","6.7","1.0","8.6","11.9","3.2","10762"
"2016","Adam Duvall","CIN","LF","1173.1","","","","","1","0","15","","16","204","194",".951","76","2","","2.6","","7.6","-2.1","8.2","9.8","2.2","10950"
"2019","David Peralta","ARI","LF","443.0","0","","","","1","0","3","","4","87","81",".931","27","","","0.1","","2.9","0.6","3.6","11.4","1.4","2136"
"2018","Brett Gardner","NYY","LF","901.0","","","","","-2","0","10","","8","128","116",".906","83","5","","1.1","","4.8","0.1","6.0","9.9","1.4","9927"
"2019","Andrew McCutchen","PHI","LF","402.1","0","","","","2","0","2","","4","53","47",".887","32","","","1.2","","1.2","0.1","2.5","11.2","0.4","9847"
"2016","Starling Marte","PIT","LF","966.2","","","","","9","4","6","","19","127","111",".874","60","11","","4.5","","0.5","0.1","5.1","7.3","0.1","9241"
"2016","Melvin Upton Jr.","- - -","LF","912.2","","","","","2","4","4","","10","130","121",".931","56","4","","3.5","","1.9","-0.6","4.8","7.7","0.1","5015"
"2016","Christian Yelich","MIA","LF","1061.0","","","","","1","-1","6","","6","148","135",".912","57","7","","2.5","","2.4","0.5","5.4","6.4","0.0","11477"
"2019","Tommy Pham","TBR","LF","446.2","0","","","","3","1","0","","4","44","40",".909","15","","","1.4","","0.1","0.7","2.3","12.1","0.0","2967"
"2019","Robbie Grossman","OAK","LF","394.2","0","","","","0","0","2","","2","68","62",".912","35","","","0.5","","0.5","0.8","1.8","6.6","-0.2","5254"
"2019","Alex Gordon","KCR","LF","533.1","0","","","","1","1","-1","","1","75","67",".893","31","","","1.0","","0.7","0.7","2.4","6.3","-0.3","5209"
"2018","Andrew Benintendi","BOS","LF","1077.1","","","","","4","3","-3","","4","159","141",".887","60","3","","6.1","","-1.3","0.3","5.2","5.8","-0.4","17901"
"2019","Eddie Rosario","MIN","LF","477.0","0","","","","4","1","0","","5","63","57",".905","29","","","0.7","","0.7","0.7","2.1","6.5","-0.4","12155"
"2019","Joc Pederson","LAD","LF","368.1","0","","","","1","0","0","","1","42","38",".905","21","","","2.4","","-1.0","0.1","1.4","5.3","-0.5","11899"
"2019","Michael Brantley","HOU","LF","382.2","0","","","","1","0","2","","3","50","42",".840","25","","","0.2","","1.0","0.3","1.4","7.5","-0.6","4106"
"2019","Marcell Ozuna","STL","LF","518.1","0","","","","1","0","-1","","0","62","55",".887","27","","","1.5","","0.0","0.5","2.0","7.3","-0.6","10324"
"2016","Brett Gardner","NYY","LF","1219.0","","","","","-1","3","10","","12","181","163",".901","86","7","","-0.1","","4.6","0.7","5.2","5.8","-1.1","9927"
"2018","Eddie Rosario","MIN","LF","1049.1","","","","","7","2","-3","","6","161","150",".932","77","4","","5.5","","1.0","-2.3","4.2","4.7","-1.2","12155"
"2017","Adam Duvall","CIN","LF","1277.1","","","","","7","2","-1","","8","201","187",".930","80","1","","3.8","","1.4","-0.3","4.9","4.7","-1.6","10950"
"2019","Andrew Benintendi","BOS","LF","477.1","0","","","","1","2","-3","","0","65","58",".892","17","","","0.5","","-0.9","0.9","0.4","1.5","-2.0","17901"
"2019","Kyle Schwarber","CHC","LF","466.1","0","","","","2","0","-3","","-1","63","54",".857","18","","","1.0","","0.2","-1.3","-0.1","0.2","-2.5","16478"
"2018","Marcell Ozuna","STL","LF","1283.1","","","","","-2","-2","12","","8","193","182",".943","82","-3","","0.9","","2.6","0.5","4.0","4.2","-2.6","10324"
"2017","Justin Upton","- - -","LF","1287.2","","","","","-3","0","11","","8","240","222",".925","96","-1","","-4.8","","9.6","-1.4","3.4","4.4","-3.2","5222"
"2017","Eddie Rosario","MIN","LF","1108.1","","","","","2","-2","-6","","-6","184","167",".908","58","2","","1.1","","0.8","0.2","2.1","2.6","-3.6","12155"
"2017","Marcell Ozuna","MIA","LF","1335.0","","","","","2","1","8","","11","236","215",".911","90","2","","4.2","","-1.0","-0.1","3.1","2.7","-3.8","10324"
"2016","Alex Gordon","KCR","LF","1100.1","","","","","1","1","2","","4","174","160",".920","62","11","","-0.3","","1.7","0.1","1.5","2.3","-4.2","5209"
"2018","Michael Brantley","CLE","LF","1136.1","","","","","0","1","-4","","-3","182","165",".907","56","2","","1.9","","-2.2","0.8","0.5","1.1","-5.3","4106"
"2019","Dwight Smith Jr.","BAL","LF","441.2","0","","","","-1","2","-5","","-4","88","75",".852","20","","","-0.1","","-1.9","-1.3","-3.3","-10.4","-5.5","13473"
"2018","David Peralta","ARI","LF","1202.2","","","","","-1","-2","8","","5","156","141",".904","78","2","","-3.9","","5.4","-0.9","0.6","0.8","-5.6","2136"
"2017","Andrew Benintendi","BOS","LF","1078.1","","","","","4","4","1","","9","152","138",".908","51","3","","0.5","","0.1","-0.8","-0.1","-0.3","-5.7","17901"
"2019","Raimel Tapia","COL","LF","385.1","0","","","","-2","-1","-4","","-7","48","44",".917","30","","","-0.7","","-2.5","-0.6","-3.8","-15.6","-5.8","14350"
"2019","Ryan Braun","MIL","LF","393.2","0","","","","-1","-1","-2","","-4","41","34",".829","18","","","-0.1","","-3.1","-0.7","-3.8","-16.7","-5.8","3410"
"2018","Justin Upton","LAA","LF","1200.1","","","","","-4","0","4","","0","209","185",".885","110","-2","","-1.2","","0.4","0.2","-0.6","-0.8","-6.8","5222"
"2016","Justin Upton","DET","LF","1258.0","","","","","-4","3","2","","1","201","178",".886","75","-1","","-6.6","","6.1","-0.1","-0.6","-0.2","-7.1","5222"
"2016","Ryan Braun","MIL","LF","1101.2","","","","","4","0","2","","6","160","146",".913","61","2","","2.6","","-5.3","0.5","-2.2","-2.0","-7.9","3410"
"2016","Jayson Werth","WSN","LF","1140.0","","","","","1","1","-10","","-8","162","151",".932","46","-3","","0.0","","-3.7","1.5","-2.2","-2.9","-8.1","1327"
"2019","Juan Soto","WSN","LF","487.1","0","","","","-4","-1","2","","-3","56","54",".964","32","","","-4.6","","-1.7","0.5","-5.9","-25.4","-8.4","20123"
"2016","Angel Pagan","SFG","LF","1047.0","","","","","-1","-2","-1","","-4","157","139",".885","79","-5","","-1.0","","-1.6","-0.4","-3.1","-3.9","-8.5","2918"
"2018","Juan Soto","WSN","LF","987.0","","","","","2","-3","-4","","-5","154","136",".883","71","-2","","-0.7","","-4.4","0.9","-4.2","-5.5","-9.3","20123"
"2018","Denard Span","- - -","LF","924.0","","","","","0","-1","0","","-1","150","137",".913","66","0","","-5.2","","-0.9","1.3","-4.9","-6.6","-9.6","8347"
"2016","Melky Cabrera","CHW","LF","1293.0","","","","","4","4","-13","","-5","188","164",".872","68","-4","","0.7","","-5.1","1.1","-3.2","-3.0","-9.9","4022"
"2019","Domingo Santana","SEA","LF","510.1","0","","","","-2","-2","-4","","-8","90","74",".822","27","","","-2.0","","-3.8","-3.7","-9.5","-23.8","-12.2","10348"
"2017","Khris Davis","OAK","LF","993.0","","","","","-10","-3","0","","-13","162","151",".932","61","-3","","-9.6","","-1.0","0.4","-10.2","-12.1","-15.3","9112"
"2018","Rhys Hoskins","PHI","LF","1172.1","","","","","-6","-3","-15","","-24","197","177",".899","58","-11","","-2.3","","-7.6","-1.4","-11.3","-13.7","-17.4","16472"
